variant,dimensions,
33741,11x9,
33742,14x11,
33743,18x12,
33744,20x16,
33745,24x18,
33746,30x20,
33747,36x24,
33748,9x11,
33749,11x14,
33750,12x18,
33751,16x20,
33752,18x24,
33753,20x30,
33754,24x36,
113155,14x14,
113156,28x28,
114542,12x8,
114543,32x24,
114544,24x32,
114545,8x12,
114546,8x20,
114547,20x8,
114548,10x24,
114549,24x10,
114550,28x40,
114551,40x28,
,,
,,
